relation,source_type,target_type
develops,Organization,Frontier Model
publishes,Organization,Publication
authors,Organization,Governance Framework
describes,Publication,Frontier Model
evaluates,Evaluation,Frontier Model
uses,Evaluation,Benchmark
measures,Benchmark,Capability
contributes_to,Capability,Risk Domain
mitigates,Safety Measure,Risk Domain
recommends,Governance Framework,Safety Measure
requires,Governance Framework,Deployment Control
implements,Organization,Governance Framework
aligns_with,Governance Framework,Regulation
references,Publication,Publication
